year_month,receive_path_name,inflow_path_name,contract_count,open_count,payend_count,avg_net_sales,open_cvr,payend_cvr
2022-06-01,인바운드,미분류,5,5,5,234340.0,1.0,1.0
2022-08-01,인바운드,미분류,7,6,7,236500.0,0.8571428571428571,1.0
2022-10-01,인바운드,미분류,6,4,6,167130.0,0.6666666666666666,1.0
2022-11-01,인바운드,미분류,9,8,9,211100.0,0.8888888888888888,1.0
2022-12-01,인바운드,미분류,8,6,8,156878.0,0.75,1.0
2023-01-01,인바운드,미분류,18,17,17,240454.0,0.9444444444444444,0.9444444444444444
2023-02-01,인바운드,미분류,23,21,23,404963.0,0.9130434782608695,1.0
2023-03-01,인바운드,미분류,37,34,37,322173.0,0.918918918918919,1.0
2023-04-01,인바운드,미분류,31,29,30,474697.0,0.9354838709677419,0.967741935483871
2023-05-01,인바운드,미분류,46,44,46,350604.0,0.9565217391304348,1.0
2023-06-01,인바운드,미분류,52,47,50,277449.0,0.9038461538461539,0.9615384615384616
2023-07-01,인바운드,기타,6,4,5,727908.0,0.6666666666666666,0.8333333333333334
2023-07-01,인바운드,미분류,263,212,230,269952.0,0.8060836501901141,0.8745247148288974
2023-08-01,인바운드,미분류,2183,1450,1695,240425.0,0.6642235455794778,0.7764544205222171
2023-08-01,인바운드,기타,6,5,6,515881.0,0.8333333333333334,1.0
2023-09-01,인바운드,기타,8,8,8,843368.0,1.0,1.0
2023-09-01,인바운드,미분류,3465,2342,2639,244023.0,0.6759018759018759,0.7616161616161616
2023-10-01,인바운드,미분류,2530,1785,1947,246699.0,0.7055335968379447,0.7695652173913043
2023-10-01,인바운드,기타,1542,1019,1125,244026.0,0.6608300907911803,0.7295719844357976
2023-11-01,인바운드,기타,50,32,37,263529.0,0.64,0.74
2023-11-01,인바운드,미분류,4507,3189,3472,220637.0,0.707566008431329,0.7703572220989572
2023-12-01,인바운드,인터넷(네이버/구글 등),6,3,4,117450.0,0.5,0.6666666666666666
2023-12-01,인바운드,기타,16,11,12,472549.0,0.6875,0.75
2023-12-01,인바운드,미분류,4457,2989,3334,226419.0,0.6706304689252861,0.7480367960511555
2023-12-01,인바운드,재인입,8,7,8,249545.0,0.875,1.0
2024-01-01,인바운드,기타,25,21,25,569461.0,0.84,1.0
2024-01-01,카톡,미분류,6,0,0,,0.0,0.0
2024-01-01,인바운드,미분류,6017,3949,4310,217932.0,0.6563071297989032,0.7163038058833305
2024-01-01,인바운드,유튜브(자사),5,4,4,219517.0,0.8,0.8
2024-01-01,인바운드,인터넷(네이버/구글 등),7,7,7,180464.0,1.0,1.0
2024-01-01,플랫폼,미분류,36,5,7,303673.0,0.1388888888888889,0.19444444444444445
2024-01-01,기타,미분류,52,14,14,254847.0,0.2692307692307692,0.2692307692307692
2024-02-01,아정당랜딩,유튜브(PPL),13,0,0,,0.0,0.0
2024-02-01,인바운드,미분류,16961,6500,6800,299040.0,0.38323212074759744,0.4009197570897942
2024-02-01,인바운드,네이버 브랜드 검색 광고,51,9,9,355579.0,0.17647058823529413,0.17647058823529413
2024-02-01,인바운드,카페,9,0,0,,0.0,0.0
2024-02-01,아정당랜딩,플랫폼,9,0,0,,0.0,0.0
2024-02-01,카톡,미분류,1386,950,997,307565.0,0.6854256854256854,0.7193362193362194
2024-02-01,인바운드,기타,36,33,33,578590.0,0.9166666666666666,0.9166666666666666
2024-02-01,인바운드,네이버 파워링크 광고,11,1,1,155950.0,0.09090909090909091,0.09090909090909091
2024-02-01,인바운드,카카오,5,3,3,197400.0,0.6,0.6
2024-02-01,플랫폼,미분류,297,77,80,278204.0,0.25925925925925924,0.26936026936026936
2024-02-01,아정당랜딩,기타,7,7,7,515442.0,1.0,1.0
2024-02-01,인바운드,블로그,60,8,8,378481.0,0.13333333333333333,0.13333333333333333
2024-02-01,인바운드,디시,6,3,3,290094.0,0.5,0.5
2024-02-01,아정당랜딩,인터넷(네이버/구글 등),18,0,0,385273.0,0.0,0.0
2024-02-01,플랫폼,바로상담,136,0,0,228682.0,0.0,0.0
2024-02-01,아정당랜딩,미분류,3047,943,987,320323.0,0.3094847390876272,0.32392517230062357
2024-02-01,카톡,카카오,5,1,1,119999.0,0.2,0.2
2024-02-01,인바운드,재인입,146,17,17,326132.0,0.11643835616438356,0.11643835616438356
2024-02-01,아정당랜딩,재인입,21,2,2,313838.0,0.09523809523809523,0.09523809523809523
2024-02-01,아정당랜딩,카카오,5,0,0,,0.0,0.0
2024-02-01,기타,미분류,72,22,22,262829.0,0.3055555555555556,0.3055555555555556
2024-02-01,아정당랜딩,네이버 파워링크 광고,6,0,0,,0.0,0.0
2024-02-01,인바운드,인터넷(네이버/구글 등),67,11,11,266456.0,0.16417910447761194,0.16417910447761194
2024-02-01,인바운드,플랫폼,19,1,1,57600.0,0.05263157894736842,0.05263157894736842
2024-02-01,짐싸,미분류,10,0,0,,0.0,0.0
2024-02-01,인바운드,유튜브(자사),31,5,5,285326.0,0.16129032258064516,0.16129032258064516
2024-03-01,플랫폼,TV광고,11,2,2,219933.0,0.18181818181818182,0.18181818181818182
2024-03-01,인바운드,뽐뿌,5,2,2,348080.0,0.4,0.4
2024-03-01,인바운드,페이스북,11,0,0,432800.0,0.0,0.0
2024-03-01,플랫폼,플랫폼,81,28,26,263266.0,0.345679012345679,0.32098765432098764
2024-03-01,플랫폼,네이버 브랜드 검색 광고,20,3,3,376667.0,0.15,0.15
2024-03-01,인바운드,재인입,3190,1204,1207,297645.0,0.3774294670846395,0.37836990595611286
2024-03-01,인바운드,블로그,1822,530,530,318700.0,0.29088913282107576,0.29088913282107576
2024-03-01,플랫폼,카카오,7,0,0,75273.0,0.0,0.0
2024-03-01,인바운드,네이버 파워링크 광고,47,13,13,337986.0,0.2765957446808511,0.2765957446808511
2024-03-01,인바운드,지인추천,263,100,100,314762.0,0.38022813688212925,0.38022813688212925
2024-03-01,인바운드,지식인,90,14,17,296106.0,0.15555555555555556,0.18888888888888888
2024-03-01,인바운드,랜딩페이지,421,143,143,341252.0,0.33966745843230406,0.33966745843230406
2024-03-01,카톡,미분류,670,472,492,302699.0,0.7044776119402985,0.7343283582089553
2024-03-01,플랫폼,지식인,16,3,3,371190.0,0.1875,0.1875
2024-03-01,인바운드,네이버 브랜드 검색 광고,204,52,52,286642.0,0.2549019607843137,0.2549019607843137
2024-03-01,카톡,재인입,175,107,107,273880.0,0.6114285714285714,0.6114285714285714
2024-03-01,인바운드,유튜브(PPL),454,143,143,303232.0,0.31497797356828194,0.31497797356828194
2024-03-01,플랫폼,유튜브(자사),189,84,84,323212.0,0.4444444444444444,0.4444444444444444
2024-03-01,아정당랜딩,카페,5,4,4,345255.0,0.8,0.8
2024-03-01,아정당랜딩,랜딩페이지,18,0,0,,0.0,0.0
2024-03-01,짐싸,미분류,8,0,0,390909.0,0.0,0.0
2024-03-01,아정당랜딩,카카오,13,0,0,,0.0,0.0
2024-03-01,플랫폼,협력업체,27,10,10,386846.0,0.37037037037037035,0.37037037037037035
2024-03-01,인바운드,협력업체,149,76,76,365690.0,0.5100671140939598,0.5100671140939598
2024-03-01,인바운드,인터넷(네이버/구글 등),220,34,35,311154.0,0.15454545454545454,0.1590909090909091
2024-03-01,아정당랜딩,유튜브(자사),169,51,53,600860.0,0.30177514792899407,0.3136094674556213
2024-03-01,카톡,카카오,872,627,634,319635.0,0.7190366972477065,0.7270642201834863
2024-03-01,플랫폼,미분류,413,177,190,303285.0,0.42857142857142855,0.4600484261501211
2024-03-01,인바운드,인스타,42,13,13,341335.0,0.30952380952380953,0.30952380952380953
2024-03-01,인바운드,TV광고,112,30,30,306424.0,0.26785714285714285,0.26785714285714285
2024-03-01,플랫폼,유튜브(PPL),69,29,29,256954.0,0.42028985507246375,0.42028985507246375
