year_month,install_state,rental_main_category,rental_sub_category,contract_count,open_count,payend_count,open_cvr,payend_cvr
2023-03-01,서울,주방가전,정수기,8,7,8,0.875,1.0
2023-04-01,서울,주방가전,정수기,6,5,6,0.8333333333333334,1.0
2023-04-01,경기,주방가전,정수기,5,5,5,1.0,1.0
2023-05-01,경기,주방가전,정수기,11,10,11,0.9090909090909091,1.0
2023-05-01,서울,주방가전,정수기,6,6,6,1.0,1.0
2023-06-01,경기,주방가전,정수기,14,10,13,0.7142857142857143,0.9285714285714286
2023-06-01,서울,주방가전,정수기,8,7,7,0.875,0.875
2023-07-01,전남,주방가전,정수기,6,5,6,0.8333333333333334,1.0
2023-07-01,경북,주방가전,정수기,8,5,6,0.625,0.75
2023-07-01,경남,주방가전,정수기,14,13,13,0.9285714285714286,0.9285714285714286
2023-07-01,인천,주방가전,정수기,16,13,15,0.8125,0.9375
2023-07-01,서울,주방가전,정수기,25,21,24,0.84,0.96
2023-07-01,전북,주방가전,정수기,8,8,8,1.0,1.0
2023-07-01,부산,주방가전,정수기,14,14,14,1.0,1.0
2023-07-01,서울,계절가전,공기청정기,5,5,5,1.0,1.0
2023-07-01,대구,주방가전,정수기,17,13,17,0.7647058823529411,1.0
2023-07-01,경기,주방가전,정수기,59,50,53,0.847457627118644,0.8983050847457628
2023-07-01,강원특별자치도,주방가전,정수기,6,4,5,0.6666666666666666,0.8333333333333334
2023-07-01,충북,주방가전,정수기,8,7,7,0.875,0.875
2023-07-01,광주,주방가전,정수기,7,7,7,1.0,1.0
2023-08-01,광주,계절가전,공기청정기,5,3,4,0.6,0.8
2023-08-01,경기,주방가전,정수기,523,402,469,0.768642447418738,0.8967495219885278
2023-08-01,경북,주방가전,정수기,60,42,49,0.7,0.8166666666666667
2023-08-01,경기,생활가전,비데,40,28,34,0.7,0.85
2023-08-01,부산,주방가전,정수기,110,79,96,0.7181818181818181,0.8727272727272727
2023-08-01,경기,가구,침대/매트리스,5,1,3,0.2,0.6
2023-08-01,울산,헬스 뷰티 반려 기타,기타,5,2,2,0.4,0.4
2023-08-01,인천,TV/디지털,TV,6,2,2,0.3333333333333333,0.3333333333333333
2023-08-01,울산,주방가전,정수기,35,29,31,0.8285714285714286,0.8857142857142857
2023-08-01,경남,주방가전,정수기,82,62,68,0.7560975609756098,0.8292682926829268
2023-08-01,전북,주방가전,정수기,39,30,33,0.7692307692307693,0.8461538461538461
2023-08-01,경기,계절가전,에어컨,6,0,1,0.0,0.16666666666666666
2023-08-01,충북,주방가전,정수기,53,39,45,0.7358490566037735,0.8490566037735849
2023-08-01,충북,계절가전,공기청정기,5,4,4,0.8,0.8
2023-08-01,충남,생활가전,비데,8,7,8,0.875,1.0
2023-08-01,서울,주방가전,정수기,279,212,248,0.7598566308243727,0.8888888888888888
2023-08-01,강원특별자치도,헬스 뷰티 반려 기타,기타,5,1,1,0.2,0.2
2023-08-01,강원특별자치도,주방가전,정수기,29,23,26,0.7931034482758621,0.896551724137931
2023-08-01,충남,주방가전,정수기,69,55,62,0.7971014492753623,0.8985507246376812
2023-08-01,인천,생활가전,비데,11,3,8,0.2727272727272727,0.7272727272727273
2023-08-01,인천,계절가전,공기청정기,8,4,7,0.5,0.875
2023-08-01,대구,주방가전,정수기,60,45,55,0.75,0.9166666666666666
2023-08-01,전북,헬스 뷰티 반려 기타,기타,5,0,0,0.0,0.0
2023-08-01,대전,계절가전,공기청정기,5,4,4,0.8,0.8
2023-08-01,경기,생활가전,세탁기,8,5,6,0.625,0.75
2023-08-01,전남,생활가전,비데,6,5,6,0.8333333333333334,1.0
2023-08-01,대전,주방가전,정수기,46,33,38,0.717391304347826,0.8260869565217391
2023-08-01,부산,헬스 뷰티 반려 기타,기타,13,3,3,0.23076923076923078,0.23076923076923078
2023-08-01,경기,헬스 뷰티 반려 기타,기타,39,10,11,0.2564102564102564,0.28205128205128205
2023-08-01,인천,헬스 뷰티 반려 기타,기타,9,2,3,0.2222222222222222,0.3333333333333333
2023-08-01,제주특별자치도,주방가전,정수기,17,14,15,0.8235294117647058,0.8823529411764706
2023-08-01,경기,계절가전,공기청정기,29,15,19,0.5172413793103449,0.6551724137931034
2023-08-01,경남,생활가전,비데,5,1,2,0.2,0.4
2023-08-01,서울,생활가전,비데,26,16,19,0.6153846153846154,0.7307692307692307
2023-08-01,전남,주방가전,정수기,34,25,29,0.7352941176470589,0.8529411764705882
2023-08-01,서울,계절가전,공기청정기,5,2,3,0.4,0.6
2023-08-01,경기,주방가전,냉장고,8,5,5,0.625,0.625
2023-08-01,서울,헬스 뷰티 반려 기타,기타,16,3,3,0.1875,0.1875
2023-08-01,경기,주방가전,음식물처리기,6,4,4,0.6666666666666666,0.6666666666666666
2023-08-01,광주,주방가전,정수기,48,35,40,0.7291666666666666,0.8333333333333334
2023-08-01,세종특별자치시,주방가전,정수기,13,8,9,0.6153846153846154,0.6923076923076923
2023-08-01,경기,TV/디지털,TV,6,2,2,0.3333333333333333,0.3333333333333333
2023-08-01,인천,주방가전,정수기,136,91,109,0.6691176470588235,0.8014705882352942
2023-08-01,충남,계절가전,에어컨,5,3,3,0.6,0.6
2023-09-01,울산,주방가전,정수기,36,30,33,0.8333333333333334,0.9166666666666666
2023-09-01,부산,생활가전,건조기,5,1,1,0.2,0.2
2023-09-01,대전,주방가전,정수기,58,41,48,0.7068965517241379,0.8275862068965517
2023-09-01,광주,생활가전,건조기,7,4,4,0.5714285714285714,0.5714285714285714
2023-09-01,대전,생활가전,비데,5,3,4,0.6,0.8
2023-09-01,서울,주방가전,정수기,436,337,383,0.7729357798165137,0.8784403669724771
2023-09-01,울산,계절가전,공기청정기,5,4,4,0.8,0.8
2023-09-01,부산,주방가전,정수기,172,133,145,0.7732558139534884,0.8430232558139535
2023-09-01,경기,TV/디지털,TV,18,8,9,0.4444444444444444,0.5
2023-09-01,부산,헬스 뷰티 반려 기타,기타,9,2,2,0.2222222222222222,0.2222222222222222
2023-09-01,충남,계절가전,공기청정기,9,5,5,0.5555555555555556,0.5555555555555556
2023-09-01,전북,주방가전,정수기,71,57,61,0.8028169014084507,0.8591549295774648
2023-09-01,경기,가구,침대/매트리스,6,3,3,0.5,0.5
2023-09-01,경기,주방가전,정수기,748,587,661,0.7847593582887701,0.8836898395721925
2023-09-01,서울,계절가전,공기청정기,16,10,11,0.625,0.6875
2023-09-01,충남,생활가전,세탁기,7,2,3,0.2857142857142857,0.42857142857142855
2023-09-01,경북,헬스 뷰티 반려 기타,기타,16,5,5,0.3125,0.3125
2023-09-01,경기,헬스 뷰티 반려 기타,기타,77,37,38,0.4805194805194805,0.4935064935064935
2023-09-01,경기,계절가전,에어컨,12,6,6,0.5,0.5
2023-09-01,인천,TV/디지털,TV,6,1,1,0.16666666666666666,0.16666666666666666
2023-09-01,경남,계절가전,공기청정기,5,4,4,0.8,0.8
2023-09-01,충북,주방가전,정수기,67,49,60,0.7313432835820896,0.8955223880597015
2023-09-01,부산,계절가전,공기청정기,6,4,5,0.6666666666666666,0.8333333333333334
2023-09-01,대구,계절가전,공기청정기,6,2,2,0.3333333333333333,0.3333333333333333
2023-09-01,인천,계절가전,공기청정기,19,11,14,0.5789473684210527,0.7368421052631579
2023-09-01,광주,주방가전,정수기,72,53,57,0.7361111111111112,0.7916666666666666
2023-09-01,대구,주방가전,정수기,124,86,101,0.6935483870967742,0.8145161290322581
2023-09-01,경기,생활가전,비데,56,36,42,0.6428571428571429,0.75
2023-09-01,경남,주방가전,정수기,133,93,108,0.6992481203007519,0.8120300751879699
2023-09-01,강원특별자치도,주방가전,정수기,60,42,49,0.7,0.8166666666666667
2023-09-01,경기,TV/디지털,컴퓨터/게이밍PC,9,1,1,0.1111111111111111,0.1111111111111111
2023-09-01,경기,주방가전,냉장고,17,5,7,0.29411764705882354,0.4117647058823529
2023-09-01,경기,계절가전,공기청정기,37,32,34,0.8648648648648649,0.918918918918919
2023-09-01,서울,생활가전,비데,34,20,27,0.5882352941176471,0.7941176470588235
2023-09-01,울산,생활가전,비데,7,6,6,0.8571428571428571,0.8571428571428571
2023-09-01,서울,헬스 뷰티 반려 기타,기타,50,16,16,0.32,0.32
2023-09-01,인천,생활가전,세탁기,5,1,2,0.2,0.4
2023-09-01,전남,생활가전,비데,7,0,0,0.0,0.0
2023-09-01,전북,헬스 뷰티 반려 기타,기타,5,1,1,0.2,0.2
2023-09-01,강원특별자치도,헬스 뷰티 반려 기타,기타,6,1,1,0.16666666666666666,0.16666666666666666
2023-09-01,광주,헬스 뷰티 반려 기타,기타,8,2,2,0.25,0.25
2023-09-01,강원특별자치도,생활가전,비데,5,3,4,0.6,0.8
2023-09-01,충북,생활가전,비데,5,2,4,0.4,0.8
2023-09-01,제주특별자치도,주방가전,정수기,25,21,22,0.84,0.88
2023-09-01,인천,주방가전,냉장고,7,1,1,0.14285714285714285,0.14285714285714285
2023-09-01,경남,주방가전,냉장고,9,3,4,0.3333333333333333,0.4444444444444444
2023-09-01,부산,생활가전,비데,11,9,10,0.8181818181818182,0.9090909090909091
2023-09-01,경남,생활가전,비데,9,7,7,0.7777777777777778,0.7777777777777778
2023-09-01,경기,TV/디지털,노트북,5,1,1,0.2,0.2
2023-09-01,충남,생활가전,비데,18,9,13,0.5,0.7222222222222222
2023-09-01,경기,생활가전,세탁기,15,5,7,0.3333333333333333,0.4666666666666667
2023-09-01,광주,계절가전,공기청정기,7,4,4,0.5714285714285714,0.5714285714285714
2023-09-01,경기,생활가전,청소기,8,4,3,0.5,0.375
2023-09-01,경남,헬스 뷰티 반려 기타,기타,13,9,9,0.6923076923076923,0.6923076923076923
2023-09-01,충남,주방가전,정수기,104,82,89,0.7884615384615384,0.8557692307692307
2023-09-01,인천,주방가전,정수기,173,133,151,0.7687861271676301,0.8728323699421965
2023-09-01,전남,주방가전,정수기,73,57,63,0.7808219178082192,0.863013698630137
2023-09-01,인천,생활가전,비데,25,16,19,0.64,0.76
2023-09-01,광주,생활가전,비데,5,3,3,0.6,0.6
2023-09-01,충남,헬스 뷰티 반려 기타,기타,11,2,2,0.18181818181818182,0.18181818181818182
2023-09-01,대구,헬스 뷰티 반려 기타,기타,12,4,4,0.3333333333333333,0.3333333333333333
2023-09-01,인천,헬스 뷰티 반려 기타,기타,10,3,3,0.3,0.3
2023-09-01,경기,생활가전,스타일러,5,4,4,0.8,0.8
2023-09-01,경북,주방가전,정수기,101,76,82,0.7524752475247525,0.8118811881188119
2023-09-01,세종특별자치시,주방가전,정수기,23,20,22,0.8695652173913043,0.9565217391304348
2023-09-01,대전,헬스 뷰티 반려 기타,기타,7,3,3,0.42857142857142855,0.42857142857142855
2023-09-01,대구,생활가전,비데,8,3,5,0.375,0.625
2023-09-01,경기,생활가전,건조기,14,4,6,0.2857142857142857,0.42857142857142855
2023-10-01,강원특별자치도,헬스 뷰티 반려 기타,기타,10,4,4,0.4,0.4
2023-10-01,충북,주방가전,정수기,71,51,59,0.7183098591549296,0.8309859154929577
2023-10-01,전북,헬스 뷰티 반려 기타,기타,11,0,0,0.0,0.0
2023-10-01,대전,생활가전,비데,6,3,3,0.5,0.5
2023-10-01,서울,생활가전,세탁기,8,3,3,0.375,0.375
2023-10-01,경기,생활가전,안마의자,6,0,2,0.0,0.3333333333333333
2023-10-01,대전,주방가전,정수기,71,55,61,0.7746478873239436,0.8591549295774648
2023-10-01,충북,계절가전,공기청정기,5,3,3,0.6,0.6
2023-10-01,전북,생활가전,비데,9,5,7,0.5555555555555556,0.7777777777777778
2023-10-01,울산,헬스 뷰티 반려 기타,기타,9,0,0,0.0,0.0
2023-10-01,경기,주방가전,전기레인지,5,2,2,0.4,0.4
2023-10-01,인천,주방가전,정수기,233,179,198,0.7682403433476395,0.8497854077253219
2023-10-01,강원특별자치도,생활가전,비데,5,4,4,0.8,0.8
2023-10-01,충북,헬스 뷰티 반려 기타,기타,10,5,5,0.5,0.5
2023-10-01,인천,TV/디지털,컴퓨터/게이밍PC,6,0,0,0.0,0.0
2023-10-01,충북,생활가전,비데,5,5,5,1.0,1.0
2023-10-01,경북,생활가전,세탁기,8,3,3,0.375,0.375
2023-10-01,부산,헬스 뷰티 반려 기타,기타,14,5,5,0.35714285714285715,0.35714285714285715
2023-10-01,경기,생활가전,스타일러,9,4,4,0.4444444444444444,0.4444444444444444
2023-10-01,경북,계절가전,공기청정기,8,5,5,0.625,0.625
2023-10-01,경남,생활가전,세탁기,5,1,2,0.2,0.4
2023-10-01,서울,헬스 뷰티 반려 기타,기타,58,19,19,0.3275862068965517,0.3275862068965517
2023-10-01,경남,계절가전,공기청정기,20,13,14,0.65,0.7
2023-10-01,경남,생활가전,비데,12,9,11,0.75,0.9166666666666666
2023-10-01,경북,주방가전,정수기,103,84,88,0.8155339805825242,0.8543689320388349
2023-10-01,경기,주방가전,정수기,874,710,781,0.8123569794050344,0.8935926773455377
2023-10-01,부산,계절가전,공기청정기,12,6,7,0.5,0.5833333333333334
2023-10-01,충남,생활가전,비데,10,3,5,0.3,0.5
2023-10-01,서울,생활가전,스타일러,5,3,3,0.6,0.6
2023-10-01,울산,주방가전,정수기,51,35,39,0.6862745098039216,0.7647058823529411
2023-10-01,경북,생활가전,비데,10,7,8,0.7,0.8
2023-10-01,전남,주방가전,정수기,51,41,44,0.803921568627451,0.8627450980392157
2023-10-01,충남,주방가전,정수기,136,102,115,0.75,0.8455882352941176
2023-10-01,부산,생활가전,세탁기,7,3,3,0.42857142857142855,0.42857142857142855
2023-10-01,인천,헬스 뷰티 반려 기타,기타,24,5,5,0.20833333333333334,0.20833333333333334
2023-10-01,경기,TV/디지털,TV,18,3,3,0.16666666666666666,0.16666666666666666
2023-10-01,부산,생활가전,비데,11,11,11,1.0,1.0
2023-10-01,경북,헬스 뷰티 반려 기타,기타,21,5,5,0.23809523809523808,0.23809523809523808
2023-10-01,광주,주방가전,정수기,75,57,63,0.76,0.84
2023-10-01,경기,계절가전,공기청정기,42,31,34,0.7380952380952381,0.8095238095238095
2023-10-01,인천,계절가전,공기청정기,9,7,7,0.7777777777777778,0.7777777777777778
2023-10-01,경남,주방가전,정수기,144,105,119,0.7291666666666666,0.8263888888888888
2023-10-01,대구,헬스 뷰티 반려 기타,기타,21,14,14,0.6666666666666666,0.6666666666666666
2023-10-01,세종특별자치시,주방가전,정수기,21,19,20,0.9047619047619048,0.9523809523809523
2023-10-01,경북,TV/디지털,컴퓨터/게이밍PC,6,1,1,0.16666666666666666,0.16666666666666666
2023-10-01,강원특별자치도,주방가전,정수기,57,47,48,0.8245614035087719,0.8421052631578947
2023-10-01,경기,생활가전,비데,85,60,70,0.7058823529411765,0.8235294117647058
2023-10-01,울산,생활가전,비데,6,4,4,0.6666666666666666,0.6666666666666666
2023-10-01,서울,생활가전,비데,61,37,42,0.6065573770491803,0.6885245901639344
2023-10-01,경북,TV/디지털,TV,5,1,1,0.2,0.2
2023-10-01,경남,헬스 뷰티 반려 기타,기타,15,2,4,0.13333333333333333,0.26666666666666666
2023-10-01,부산,TV/디지털,TV,8,1,1,0.125,0.125
2023-10-01,서울,생활가전,건조기,7,2,2,0.2857142857142857,0.2857142857142857
2023-10-01,전북,주방가전,정수기,63,48,55,0.7619047619047619,0.873015873015873
2023-10-01,인천,생활가전,비데,24,14,17,0.5833333333333334,0.7083333333333334
2023-10-01,대구,주방가전,정수기,126,101,107,0.8015873015873016,0.8492063492063492
2023-10-01,충남,헬스 뷰티 반려 기타,기타,13,7,7,0.5384615384615384,0.5384615384615384
2023-10-01,서울,계절가전,공기청정기,32,24,27,0.75,0.84375
2023-10-01,부산,주방가전,정수기,207,166,177,0.8019323671497585,0.855072463768116
2023-10-01,서울,주방가전,정수기,514,423,451,0.8229571984435797,0.877431906614786
2023-10-01,전남,생활가전,비데,5,2,3,0.4,0.6
2023-10-01,경기,생활가전,건조기,9,4,4,0.4444444444444444,0.4444444444444444
2023-10-01,제주특별자치도,주방가전,정수기,24,16,19,0.6666666666666666,0.7916666666666666
2023-10-01,경기,주방가전,식기세척기,8,2,3,0.25,0.375
2023-10-01,인천,생활가전,세탁기,6,3,3,0.5,0.5
2023-10-01,강원특별자치도,TV/디지털,TV,5,3,3,0.6,0.6
2023-10-01,광주,생활가전,비데,11,9,10,0.8181818181818182,0.9090909090909091
2023-10-01,경기,헬스 뷰티 반려 기타,기타,99,30,30,0.30303030303030304,0.30303030303030304
2023-10-01,경기,주방가전,냉장고,14,7,8,0.5,0.5714285714285714
2023-10-01,대전,헬스 뷰티 반려 기타,기타,7,2,2,0.2857142857142857,0.2857142857142857
2023-10-01,인천,주방가전,냉장고,6,3,3,0.5,0.5
2023-10-01,경기,TV/디지털,컴퓨터/게이밍PC,6,0,1,0.0,0.16666666666666666
2023-10-01,충남,계절가전,공기청정기,8,5,5,0.625,0.625
2023-10-01,울산,계절가전,공기청정기,5,5,5,1.0,1.0
2023-10-01,서울,TV/디지털,TV,8,2,2,0.25,0.25
2023-10-01,경기,생활가전,세탁기,25,11,12,0.44,0.48
2023-11-01,강원특별자치도,생활가전,비데,16,10,11,0.625,0.6875
2023-11-01,대전,생활가전,비데,6,6,6,1.0,1.0
2023-11-01,전남,주방가전,정수기,77,65,70,0.8441558441558441,0.9090909090909091
2023-11-01,경기,계절가전,공기청정기,59,38,43,0.6440677966101694,0.7288135593220338
2023-11-01,전북,생활가전,비데,7,5,7,0.7142857142857143,1.0
2023-11-01,전북,헬스 뷰티 반려 기타,기타,6,0,0,0.0,0.0
2023-11-01,인천,계절가전,공기청정기,11,6,7,0.5454545454545454,0.6363636363636364
2023-11-01,경남,계절가전,공기청정기,10,6,6,0.6,0.6
2023-11-01,서울,생활가전,스타일러,9,6,7,0.6666666666666666,0.7777777777777778
2023-11-01,전남,헬스 뷰티 반려 기타,기타,6,3,3,0.5,0.5
2023-11-01,경기,헬스 뷰티 반려 기타,펫케어,6,0,0,0.0,0.0
2023-11-01,경기,계절가전,에어컨,6,3,3,0.5,0.5
2023-11-01,울산,생활가전,비데,5,5,5,1.0,1.0
2023-11-01,광주,계절가전,공기청정기,8,6,7,0.75,0.875
2023-11-01,인천,생활가전,비데,20,16,17,0.8,0.85
2023-11-01,서울,생활가전,건조기,6,2,3,0.3333333333333333,0.5
2023-11-01,전북,주방가전,정수기,89,71,75,0.797752808988764,0.8426966292134831
2023-11-01,서울,계절가전,공기청정기,49,35,41,0.7142857142857143,0.8367346938775511
2023-11-01,경북,주방가전,정수기,101,74,87,0.7326732673267327,0.8613861386138614
2023-11-01,울산,주방가전,정수기,52,38,42,0.7307692307692307,0.8076923076923077
2023-11-01,전북,계절가전,공기청정기,9,5,7,0.5555555555555556,0.7777777777777778
2023-11-01,부산,생활가전,비데,19,18,18,0.9473684210526315,0.9473684210526315
2023-11-01,부산,생활가전,세탁기,9,4,4,0.4444444444444444,0.4444444444444444
2023-11-01,세종특별자치시,주방가전,정수기,26,23,25,0.8846153846153846,0.9615384615384616
